canonical_latex,meaning,your_notation
\times,multiplication,×
\cdot,dot multiplication,·
\div,division,/
/,fraction slash,
\frac{a}{b},fraction,a/b
+,addition,
-,subtraction / minus,
\pm,plus-minus,±
\mp,minus-plus,∓
=,equals,
\approx,approximately equal,≈
\neq,not equal,≠
<,less than,
>,greater than,
\leq,less than or equal,≤
\geq,greater than or equal,≥
\propto,proportional to,∝
\infty,infinity,∞
a^b,power / superscript,
a_b,subscript,
\sqrt{},square root,√()
\sqrt[n]{},nth root,√[n]()
\times 10^{n},scientific notation,× 10^n
\alpha,alpha,α
\beta,beta,β
\gamma,gamma,γ
\delta,delta (lowercase),δ
\Delta,Delta (change in),Δ
\epsilon,epsilon / permittivity,ε
\varepsilon,var-epsilon,ε
\theta,theta,θ
\lambda,lambda / linear charge density,λ
\mu,mu / micro prefix / permeability,μ
\pi,pi,π
\rho,rho / resistivity / volume charge density,ρ
\sigma,sigma / conductivity / surface charge density,σ
\tau,tau / time constant,τ
\phi,phi / potential / flux,φ
\varphi,var-phi,φ
\Phi,Phi / flux,Φ
\omega,omega / angular frequency,ω
\Omega,Omega / ohm,Ω
\int,integral,
\sum,summation,
\partial,partial derivative,
\nabla,nabla / del,
\vec{},vector,
\hat{},unit vector,
\degree,degree,°
\%,percent,%
\angle,angle,∠
V,volt,
A,ampere,
ohm,ohm (unit),
W,watt,
J,joule,
C,coulomb,
F,farad,
H,henry,
T,tesla,
Wb,weber,
N,newton,
V/m,volt per meter (electric field),
N/C,newton per coulomb,
Hz,hertz,
s,second,
m,meter,
eV,electron volt,
p,pico (prefix),
n,nano (prefix),
u,micro (prefix; ASCII for mu),
k,kilo (prefix),
M,mega (prefix),
G,giga (prefix),
